Title,Company,Location,Experience,Experience_Min,Experience_Max,Salary,Salary_Min,Salary_Max,Skills,Job_Category,Keyword,Source,Posted_Date,Work_Mode,Job_Link,Role_Category
Data Scientist - Predictive Analytics,Blackstraw Technologies,Chennai,6-14 Yrs,6.0,14.0,26-50 Lacs PA,26.0,50.0,"Data, Deep Learning, Predictive Analytics, Predictive Modeling, Statistical Modeling, Time, Time Series, Time Series Analysis",Data Scientist,Analytics,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-data-scientist-predictive-analytics-blackstraw-technologies-chennai-6-to-14-years-290626011153,Data Scientist
Lead Machine Learning Engineer,Blackstraw Technologies,Chennai,9-14 Yrs,9.0,14.0,35-50 Lacs PA,35.0,50.0,"Big Data, Data, Machine, Machine Learning, Python",Machine Learning / AI,Machine Learning,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-lead-machine-learning-engineer-blackstraw-technologies-chennai-9-to-14-years-200726005192,Machine Learning / AI
Walkin - Machine Learning Engineer - Blackstraw.ai - Chennai- WFO,Blackstraw Technologies,Unknown,Not Available,,,Not Available,,,"Analytics, Machine Learning, Modeling, Predictive, Predictive Analytics, Predictive Modeling, Python, Statistical Modeling",Machine Learning / AI,Machine Learning,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-walkin-machine-learning-engineer-blackstraw-ai-chennai-wfo-blackstraw-technologies-chennai-3-to-5-years-060726026056,Machine Learning / AI
Data Engineer,Blend360 India,Hyderabad,0-3 Yrs,0.0,3.0,Not Available,,,"Agile, Apache, Automation, Debugging, Information Technology, Monitoring, Performance Tuning, SQL",Data Engineering,Data Engineer,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-data-engineer-blend-360-hyderabad-0-to-3-years-120925505347,Data Engineering
Senior BI Engineer - (PowerBI and Microsoft Fabric with Finance exp),Blend360 India,Hyderabad,4-5 Yrs,4.0,5.0,Not Available,,,"Analytical, Business Intelligence, Computer Science, Data Management, Microsoft, Power BI, Stakeholder Management, Troubleshooting",Business Intelligence,Business Intelligence,Naukri,1 day ago,On-site,https://www.naukri.com/job-listings-senior-bi-engineer-powerbi-and-microsoft-fabric-with-finance-exp-blend-360-hyderabad-4-to-5-years-300726500733,Business Intelligence
Senior Insights Analyst (PowerBI & FMCG),Blend360 India,Hyderabad,4-9 Yrs,4.0,9.0,Not Available,,,"Analytical, Automation, Business Intelligence, Consulting, ERP, Fmcg, Market Intelligence, Trade Marketing",Business Intelligence,Business Intelligence,Naukri,6 days ago,On-site,https://www.naukri.com/job-listings-senior-insights-analyst-powerbi-fmcg-blend-360-hyderabad-4-to-9-years-240726507353,Business Intelligence
ETL / Data Engineer,Blismos Solutions,Bengaluru,2-4 Yrs,2.0,4.0,Not Available,,,"BI, Data Services, Modeling, Oracle, Performance Tuning, Power BI, Python, Snowflake",Data Engineering,Etl,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-etl-data-engineer-blismos-solutions-pvt-ltd-bengaluru-2-to-4-years-011025502186,Data Engineering
Data Analytics Intern,Blitzenx,Hyderabad,0-1 Yrs,0.0,1.0,Not Available,,,"Analytical, Automation, Basic, Forecasting, Google Cloud, Operations, SQL, Trend Analysis",Internship,Analytics,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-data-analytics-intern-blitzenx-rapid-consulting-services-hyderabad-0-to-1-years-261125502878,Internship
Senior DataHub / InfoCenter Developer - ETL,Blitzenx,Bengaluru,4-10 Yrs,4.0,10.0,Not Available,,,"Development, ETL, Etl Lead, Etl Tool, Oracle, SAP, Sap Data Services, Tools",ETL / Data Integration,Etl,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-senior-datahub-infocenter-developer-etl-blitzenx-rapid-consulting-services-bengaluru-4-to-10-years-210825502684,ETL / Data Integration
Senior ETL Developer,Blitzenx,Bengaluru,4-7 Yrs,4.0,7.0,Not Available,,,"Agile, Automation, Informatica, Manager Quality Assurance, PostgreSQL, Production Support, Rdbms, Workflow",ETL / Data Integration,Etl,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-senior-etl-developer-blitzenx-rapid-consulting-services-bengaluru-4-to-7-years-170725501667,ETL / Data Integration
